央视,#genre#
乌兰察布经济生活,http://10.11.43.21/PLTV/88888912/224/3221226579/10000100000000060000000001126187_0.smil/01.m3u8?fmt=ts2hls
杭锦旗综合,http://10.11.43.21/PLTV/88888912/224/3221226692/400889051.smil/01.m3u8?fmt=ts2hls
卫视,#genre#
湖南卫视,http://10.11.43.21/PLTV/88888912/224/3221226449/10000100000000060000000000871723_0.smil/01.m3u8?fmt=ts2hls
浙江卫视,http://10.11.43.21/PLTV/88888912/224/3221226460/10000100000000060000000000871725_0.smil/01.m3u8?fmt=ts2hls
江苏卫视,http://10.11.43.21/PLTV/88888912/224/3221226451/10000100000000060000000000871724_0.smil/01.m3u8?fmt=ts2hls
安徽卫视,http://10.11.43.21/PLTV/88888912/224/3221226480/10000100000000060000000000873020_0.smil/01.m3u8?fmt=ts2hls
北京卫视,http://10.11.43.21/PLTV/88888912/224/3221226462/10000100000000060000000000871722_0.smil/01.m3u8?fmt=ts2hls
天津卫视,http://10.11.43.21/PLTV/88888912/224/3221226459/10000100000000060000000000873019_0.smil/01.m3u8?fmt=ts2hls
辽宁卫视,http://10.11.43.21/PLTV/88888912/224/3221226468/10000100000000060000000000871728_0.smil/01.m3u8?fmt=ts2hls
山东卫视,http://10.11.43.21/PLTV/88888912/224/3221226455/10000100000000060000000000873014_0.smil/01.m3u8?fmt=ts2hls
云南卫视,http://10.11.43.21/PLTV/88888912/224/3221226683/426211916.smil/01.m3u8?fmt=ts2hls
河南卫视,http://10.11.43.21/PLTV/88888912/224/3221226730/426211920.smil/01.m3u8?fmt=ts2hls
黑龙江卫视,http://10.11.43.21/PLTV/88888912/224/3221226488/10000100000000060000000000873017_0.smil/01.m3u8?fmt=ts2hls
四川卫视,http://10.11.43.21/PLTV/88888912/224/3221226453/10000100000000060000000000873023_0.smil/01.m3u8?fmt=ts2hls
江西卫视,http://10.11.43.21/PLTV/88888912/224/3221226500/10000100000000060000000001119198_0.smil/01.m3u8?fmt=ts2hls
贵州卫视,http://10.11.43.21/PLTV/88888912/224/3221226466/10000100000000060000000000873021_0.smil/01.m3u8?fmt=ts2hls
深圳卫视,http://10.11.43.21/PLTV/88888912/224/3221226476/10000100000000060000000000873016_0.smil/01.m3u8?fmt=ts2hls
湖北卫视,http://10.11.43.21/PLTV/88888912/224/3221226472/10000100000000060000000000871727_0.smil/01.m3u8?fmt=ts2hls
东方卫视,http://10.11.43.21/PLTV/88888912/224/3221226484/10000100000000060000000000873018_0.smil/01.m3u8?fmt=ts2hls
重庆卫视,http://10.11.43.21/PLTV/88888912/224/3221226504/10000100000000060000000001119236_0.smil/01.m3u8?fmt=ts2hls
东南卫视,http://10.11.43.21/PLTV/88888912/224/3221226457/10000100000000060000000000873026_0.smil/01.m3u8?fmt=ts2hls
河北卫视,http://10.11.43.21/PLTV/88888912/224/3221226464/10000100000000060000000000871729_0.smil/01.m3u8?fmt=ts2hls
广东卫视,http://10.11.43.21/PLTV/88888912/224/3221226458/10000100000000060000000000871726_0.smil/01.m3u8?fmt=ts2hls
广西卫视,http://10.11.43.21/PLTV/88888912/224/3221226671/426211968.smil/01.m3u8?fmt=ts2hls
吉林卫视,http://10.11.43.21/PLTV/88888912/224/3221226664/382482468.smil/01.m3u8?fmt=ts2hls
陕西卫视,http://10.11.43.21/PLTV/88888912/224/3221226677/426212062.smil/01.m3u8?fmt=ts2hls
山西卫视,http://10.11.43.21/PLTV/88888912/224/3221226740/426211964.smil/01.m3u8?fmt=ts2hls
青海卫视,http://10.11.43.21/PLTV/88888912/224/3221226675/426211956.smil/01.m3u8?fmt=ts2hls
海南卫视,http://10.11.43.21/PLTV/88888912/224/3221226622/383026202.smil/01.m3u8?fmt=ts2hls
宁夏卫视,http://10.11.43.21/PLTV/88888912/224/3221226679/426211928.smil/01.m3u8?fmt=ts2hls
西藏卫视,http://10.11.43.21/PLTV/88888912/224/3221226709/426211198.smil/01.m3u8?fmt=ts2hls
新疆卫视,http://10.11.43.21/PLTV/88888912/224/3221226714/426211976.smil/01.m3u8?fmt=ts2hls
甘肃卫视,http://10.11.43.21/PLTV/88888912/224/3221226626/382482472.smil/01.m3u8?fmt=ts2hls
兵团卫视,http://10.11.43.21/PLTV/88888912/224/3221226706/426211984.smil/01.m3u8?fmt=ts2hls
三沙卫视,http://10.11.43.21/PLTV/88888912/224/3221226768/433549663.smil/01.m3u8?fmt=ts2hls
纪实人文,http://10.11.43.21/PLTV/88888912/224/3221226489/10000100000000060000000001119244_0.smil/01.m3u8?fmt=ts2hls
教育,#genre#
CETV1,http://10.11.43.21/PLTV/88888912/224/3221226698/426212016.smil/01.m3u8?fmt=ts2hls
CETV2,http://10.11.43.21/PLTV/88888912/224/3221226050/10000100000000060000000000660100_0.smil/01.m3u8?fmt=ts2hls
CETV4,http://10.11.43.21/PLTV/88888912/224/3221226437/10000100000000060000000000834035_0.smil/01.m3u8?fmt=ts2hls
